sum.taxonomy	c19_fishcard_Miu.1.a.01.S1	c19_fishcard_Miu.1.a.02.S2	c19_fishcard_Miu.1.a.03.S3	c19_fishcard_Miu.1.a.04.S4	c19_fishcard_Miu.1.a.05.S5	c19_fishcard_Miu.1.a.06.S6	c19_fishcard_Miu.1.a.07.S7	c19_fishcard_Miu.1.a.08.S8	c19_fishcard_Miu.1.a.09.S9	c19_fishcard_Miu.1.a.10.S10	c19_fishcard_Miu.1.a.11.S11	c19_fishcard_Miu.1.a.12.S12	c19_fishcard_Miu.1.a.13.S13	c19_fishcard_Miu.1.a.14.S14	c19_fishcard_Miu.1.a.15.S15	c19_fishcard_Miu.1.a.16.S16	c19_fishcard_Miu.1.a.17.S17	c19_fishcard_Miu.1.a.18.S18	c19_fishcard_Miu.1.a.19.S19	c19_fishcard_Miu.1.a.20.S20	c19_fishcard_Miu.1.a.21.S21	c19_fishcard_Miu.1.a.22.S22	c19_fishcard_Miu.1.a.23.S23	c19_fishcard_Miu.1.a.24.S24	c19_fishcard_Miu.1.a.25.S25	c19_fishcard_Miu.1.a.26.S26	c19_fishcard_Miu.1.a.27.S27	c19_fishcard_Miu.1.a.28.S28	c19_fishcard_Miu.1.a.29.S29	c19_fishcard_Miu.1.a.30.S30	c19_fishcard_Miu.1.a.31.S31	c19_fishcard_Miu.1.a.32.S32	c19_fishcard_Miu.1.a.33.S33	c19_fishcard_Miu.1.a.34.S34	c19_fishcard_Miu.1.a.35.S35	c19_fishcard_Miu.1.a.36.S36	c19_fishcard_Miu.1.a.37.S37	c19_fishcard_Miu.1.a.38.S38	c19_fishcard_Miu.1.a.39.S39	c19_fishcard_Miu.1.a.40.S40	c19_fishcard_Miu.1.a.41.S41	c19_fishcard_Miu.1.a.42.S42	c19_fishcard_Miu.1.a.43.S43	c19_fishcard_Miu.1.a.44.S44	c19_fishcard_Miu.1.a.45.S45	c19_fishcard_Miu.1.a.46.S46	c19_fishcard_Miu.1.a.47.S47	c19_fishcard_Miu.1.b.01.S49	c19_fishcard_Miu.1.b.02.S50	c19_fishcard_Miu.1.b.03.S51	c19_fishcard_Miu.1.b.04.S52	c19_fishcard_Miu.1.b.05.S53	c19_fishcard_Miu.1.b.06.S54	c19_fishcard_Miu.1.b.07.S55	c19_fishcard_Miu.1.b.08.S56	c19_fishcard_Miu.1.b.09.S57	c19_fishcard_Miu.1.b.10.S58	c19_fishcard_Miu.1.b.11.S59	c19_fishcard_Miu.1.b.12.S60	c19_fishcard_Miu.1.b.13.S61	c19_fishcard_Miu.1.b.14.S62	c19_fishcard_Miu.1.b.15.S63	c19_fishcard_Miu.1.b.16.S64	c19_fishcard_Miu.1.b.17.S65	c19_fishcard_Miu.1.b.18.S66	c19_fishcard_Miu.1.b.19.S67	c19_fishcard_Miu.1.b.20.S68	c19_fishcard_Miu.1.b.21.S69	c19_fishcard_Miu.1.b.22.S70	c19_fishcard_Miu.1.b.23.S71	c19_fishcard_Miu.1.b.24.S72	c19_fishcard_Miu.1.b.25.S73	c19_fishcard_Miu.1.b.26.S74	c19_fishcard_Miu.1.b.27.S75	c19_fishcard_Miu.1.b.28.S76	c19_fishcard_Miu.1.b.29.S77	c19_fishcard_Miu.1.b.30.S78	c19_fishcard_Miu.1.b.31.S79	c19_fishcard_Miu.1.b.32.S80	c19_fishcard_Miu.1.b.33.S81	c19_fishcard_Miu.1.b.34.S82	c19_fishcard_Miu.1.b.35.S83	c19_fishcard_Miu.1.b.36.S84	c19_fishcard_Miu.1.b.37.S85	c19_fishcard_Miu.1.b.38.S86	c19_fishcard_Miu.1.b.39.S87	c19_fishcard_Miu.1.b.40.S88	c19_fishcard_Miu.1.b.41.S89	c19_fishcard_Miu.1.b.42.S90	c19_fishcard_Miu.1.b.43.S91	c19_fishcard_Miu.1.b.44.S92	c19_fishcard_Miu.1.b.45.S93	c19_fishcard_Miu.1.b.46.S94	c19_fishcard_Miu.1.b.47.S95	c19_fishcard_Miu.1.b.48.S96	c19_fishcard_Miu.1.b.49.S97	c19_fishcard_Miu.1.b.50.S98	c19_fishcard_Miu.1.b.51.S99	c19_fishcard_Miu.2.a.01.S101	c19_fishcard_Miu.2.a.02.S102	c19_fishcard_Miu.2.a.03.S103	c19_fishcard_Miu.2.a.04.S104	c19_fishcard_Miu.2.a.05.S105	c19_fishcard_Miu.2.a.06.S106	c19_fishcard_Miu.2.a.07.S107	c19_fishcard_Miu.2.a.08.S108	c19_fishcard_Miu.2.a.09.S109	c19_fishcard_Miu.2.a.10.S110	c19_fishcard_Miu.2.a.11.S111	c19_fishcard_Miu.2.a.12.S112	c19_fishcard_Miu.2.a.13.S113	c19_fishcard_Miu.2.a.14.S114	c19_fishcard_Miu.2.a.15.S115	c19_fishcard_Miu.2.a.16.S116	c19_fishcard_Miu.2.a.17.S117	c19_fishcard_Miu.2.a.18.S118	c19_fishcard_Miu.2.a.19.S119	c19_fishcard_Miu.2.a.20.S120	c19_fishcard_Miu.2.a.21.S121	c19_fishcard_Miu.2.a.22.S122	c19_fishcard_Miu.2.a.23.S123	c19_fishcard_Miu.2.a.24.S124	c19_fishcard_Miu.2.a.25.S125	c19_fishcard_Miu.2.a.26.S126	c19_fishcard_Miu.2.a.27.S127	c19_fishcard_Miu.2.a.28.S128	c19_fishcard_Miu.2.a.29.S129	c19_fishcard_Miu.2.a.30.S130	c19_fishcard_Miu.2.a.31.S131	c19_fishcard_Miu.2.a.32.S132	c19_fishcard_Miu.2.a.33.S133	c19_fishcard_Miu.2.a.34.S134	c19_fishcard_Miu.2.a.35.S135	c19_fishcard_Miu.2.a.36.S136	c19_fishcard_Miu.2.a.37.S137	c19_fishcard_Miu.2.a.38.S138	c19_fishcard_Miu.2.a.39.S139	c19_fishcard_Miu.2.a.40.S140	c19_fishcard_Miu.2.a.41.S141	c19_fishcard_Miu.2.a.42.S142	c19_fishcard_Miu.2.a.43.S143	c19_fishcard_Miu.2.a.44.S144	c19_fishcard_Miu.2.a.45.S145	c19_fishcard_Miu.2.a.46.S146	c19_fishcard_Miu.2.a.47.S147	c19_fishcard_Miu.2.b.01.S149	c19_fishcard_Miu.2.b.02.S150	c19_fishcard_Miu.2.b.03.S151	c19_fishcard_Miu.2.b.04.S152	c19_fishcard_Miu.2.b.05.S153	c19_fishcard_Miu.2.b.06.S154	c19_fishcard_Miu.2.b.07.S155	c19_fishcard_Miu.2.b.08.S156	c19_fishcard_Miu.2.b.09.S157	c19_fishcard_Miu.2.b.10.S158	c19_fishcard_Miu.2.b.11.S159	c19_fishcard_Miu.2.b.12.S160	c19_fishcard_Miu.2.b.13.S161	c19_fishcard_Miu.2.b.14.S162	c19_fishcard_Miu.2.b.15.S163	c19_fishcard_Miu.2.b.16.S164	c19_fishcard_Miu.2.b.17.S165	c19_fishcard_Miu.2.b.18.S166	c19_fishcard_Miu.2.b.19.S167	c19_fishcard_Miu.2.b.20.S168	c19_fishcard_Miu.2.b.21.S169	c19_fishcard_Miu.2.b.22.S170	c19_fishcard_Miu.2.b.23.S171	c19_fishcard_Miu.2.b.24.S172	c19_fishcard_Miu.2.b.25.S173	c19_fishcard_Miu.2.b.26.S174	c19_fishcard_Miu.2.b.27.S175	c19_fishcard_Miu.2.b.28.S176	c19_fishcard_Miu.2.b.29.S177	c19_fishcard_Miu.2.b.30.S178	c19_fishcard_Miu.2.b.31.S179	c19_fishcard_Miu.2.b.32.S180	c19_fishcard_Miu.2.b.33.S181	c19_fishcard_Miu.2.b.34.S182	c19_fishcard_Miu.2.b.35.S183	c19_fishcard_Miu.2.b.36.S184	c19_fishcard_Miu.2.b.37.S185	c19_fishcard_Miu.2.b.38.S186	c19_fishcard_Miu.2.b.39.S187	c19_fishcard_Miu.2.b.40.S188	c19_fishcard_Miu.2.b.41.S189	c19_fishcard_Miu.2.b.42.S190	c19_fishcard_Miu.2.b.43.S191	c19_fishcard_Miu.2.b.44.S192	c19_fishcard_Miu.2.b.45.S193	c19_fishcard_Miu.2.b.46.S194	c19_fishcard_Miu.2.b.47.S195	c19_fishcard_Miu.2.b.48.S196	c19_fishcard_Miu.2.b.50.S198	c19_fishcard_Miu.2.b.51.S199	c19_fishcard_Miu.3.a.01.S201	c19_fishcard_Miu.3.a.02.S202	c19_fishcard_Miu.3.a.03.S203	c19_fishcard_Miu.3.a.04.S204	c19_fishcard_Miu.3.a.05.S205	c19_fishcard_Miu.3.a.06.S206	c19_fishcard_Miu.3.a.07.S207	c19_fishcard_Miu.3.a.08.S208	c19_fishcard_Miu.3.a.09.S209	c19_fishcard_Miu.3.a.10.S210	c19_fishcard_Miu.3.a.11.S211	c19_fishcard_Miu.3.a.12.S212	c19_fishcard_Miu.3.a.13.S213	c19_fishcard_Miu.3.a.14.S214	c19_fishcard_Miu.3.a.15.S215	c19_fishcard_Miu.3.a.16.S216	c19_fishcard_Miu.3.a.17.S217	c19_fishcard_Miu.3.a.18.S218	c19_fishcard_Miu.3.a.19.S219	c19_fishcard_Miu.3.a.20.S220	c19_fishcard_Miu.3.a.21.S221	c19_fishcard_Miu.3.a.22.S222	c19_fishcard_Miu.3.a.23.S223	c19_fishcard_Miu.3.a.24.S224	c19_fishcard_Miu.3.a.25.S225	c19_fishcard_Miu.3.a.26.S226	c19_fishcard_Miu.3.a.27.S227	c19_fishcard_Miu.3.a.28.S228	c19_fishcard_Miu.3.a.29.S229	c19_fishcard_Miu.3.a.30.S230	c19_fishcard_Miu.3.a.31.S231	c19_fishcard_Miu.3.a.32.S232	c19_fishcard_Miu.3.a.33.S233	c19_fishcard_Miu.3.a.34.S234	c19_fishcard_Miu.3.a.35.S235	c19_fishcard_Miu.3.a.36.S236	c19_fishcard_Miu.3.a.37.S237	c19_fishcard_Miu.3.a.38.S238	c19_fishcard_Miu.3.a.39.S239	c19_fishcard_Miu.3.a.40.S240	c19_fishcard_Miu.3.a.41.S241	c19_fishcard_Miu.3.a.42.S242	c19_fishcard_Miu.3.a.43.S243	c19_fishcard_Miu.3.a.44.S244	c19_fishcard_Miu.3.a.45.S245	c19_fishcard_Miu.3.a.46.S246	c19_fishcard_Miu.3.a.47.S247	c19_fishcard_Miu.3.b.01.S249	c19_fishcard_Miu.3.b.02.S250	c19_fishcard_Miu.3.b.03.S251	c19_fishcard_Miu.3.b.04.S252	c19_fishcard_Miu.3.b.05.S253	c19_fishcard_Miu.3.b.06.S254	c19_fishcard_Miu.3.b.07.S255	c19_fishcard_Miu.3.b.08.S256	c19_fishcard_Miu.3.b.09.S257	c19_fishcard_Miu.3.b.10.S258	c19_fishcard_Miu.3.b.11.S259	c19_fishcard_Miu.3.b.12.S260	c19_fishcard_Miu.3.b.13.S261	c19_fishcard_Miu.3.b.14.S262	c19_fishcard_Miu.3.b.15.S263	c19_fishcard_Miu.3.b.16.S264	c19_fishcard_Miu.3.b.17.S265	c19_fishcard_Miu.3.b.18.S266	c19_fishcard_Miu.3.b.19.S267	c19_fishcard_Miu.3.b.20.S268	c19_fishcard_Miu.3.b.21.S269	c19_fishcard_Miu.3.b.22.S270	c19_fishcard_Miu.3.b.23.S271	c19_fishcard_Miu.3.b.24.S272	c19_fishcard_Miu.3.b.25.S273	c19_fishcard_Miu.3.b.26.S274	c19_fishcard_Miu.3.b.27.S275	c19_fishcard_Miu.3.b.28.S276	c19_fishcard_Miu.3.b.29.S277	c19_fishcard_Miu.3.b.30.S278	c19_fishcard_Miu.3.b.31.S279	c19_fishcard_Miu.3.b.32.S280	c19_fishcard_Miu.3.b.33.S281	c19_fishcard_Miu.3.b.34.S282	c19_fishcard_Miu.3.b.35.S283	c19_fishcard_Miu.3.b.36.S284	c19_fishcard_Miu.3.b.37.S285	c19_fishcard_Miu.3.b.38.S286	c19_fishcard_Miu.3.b.39.S287	c19_fishcard_Miu.3.b.40.S288	c19_fishcard_Miu.3.b.41.S289	c19_fishcard_Miu.3.b.42.S290	c19_fishcard_Miu.3.b.43.S291	c19_fishcard_Miu.3.b.44.S292	c19_fishcard_Miu.3.b.45.S293	c19_fishcard_Miu.3.b.46.S294	c19_fishcard_Miu.3.b.47.S295	c19_fishcard_Miu.3.b.48.S296	c19_fishcard_Miu.3.b.50.S298	c19_fishcard_Miu.3.b.51.S299	c19_fishcard_Miu.3.b.52.S300	c19_fishcard_Miu.1.a.48.S48	c19_fishcard_Miu.2.a.48.S148	c19_fishcard_Miu.2.b.49.S197	c19_fishcard_Miu.2.b.52.S200	c19_fishcard_Miu.3.b.49.S297
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Atherinomorus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Craterocephalus;Craterocephalus stramineus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Hypoatherina;Hypoatherina valenciennei	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;Hypoatherina;Hypoatherina woodwardi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Chirostoma;Chirostoma humboldtianum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Labidesthes;Labidesthes sicculus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Menidia;Menidia menidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
